Dept,Title,Course ID,9TH,10th,11th,12th,NOTES
ELEC,3D COMPUTER ANIM 1,000857,000857,000857,000857,000857,
ELEC,3D COMPUTER ANIM 2,000858,000858,000858,000858,000858,
ELEC,3D COMPUTER ANIM 3,000859,000859,000859,000859,000859,
ELEC,3D COMPUTER ANIM 4,000860,,000860,000860,000860,
ELEC,ACADEMIC LITERACY 1,001857,001857,001857,001857,001857,ELL
ELEC,ACADEMIC LITERACY 2,001858,,001858,001858,001858,ELL
ELEC,ACADEMIC SUC 10TH,225801,,225801,,,
ELEC,ACADEMIC SUC 10TH,225802,,225802,,,
ELEC,ACADEMIC SUC 11TH,225803,,,225803,,
ELEC,ACADEMIC SUC 11TH,225804,,,225804,,
ELEC,ACADEMIC SUC 12TH,225810,,,,225810,
ELEC,ACADEMIC SUC 12TH,225811,,,,225811,
ELEC,ACADEMIC TUTOR 1,001860,,,001860,,
ELEC,ACADEMIC TUTOR 1,701860,,,,701860,
ELEC,ACADEMIC TUTOR/SCIENCE,001859,,,001859,001859,
ELEC,AP CMPTR SCI A (1),001056,,,001056,001056,
ELEC,AP CMPTR SCI A (2),001057,,,001057,001057,
ELEC,AP CS PRINCIPLES (1),001078,,001078,001078,001078,
ELEC,AP CS PRINCIPLES (2),001079,,001079,001079,001079,
ELEC,AP HUMAN GEOG SEM,001315,001315,001315,001315,001315,
ELEC,AP HUMAN GEOGRAPHY,001312,001312,001312,001312,001312,
ELEC,AP HUMAN GEOGRAPHY,001313,001313,001313,001313,001313,
ELEC,AP MUSIC THEORY(1),001160,001160,001160,001160,001160,
ELEC,AP MUSIC THEORY(2),001161,001161,001161,001161,001161,
ELEC,AP PSYCHOLOGY (1),001327,,,001327,001327,
ELEC,AP PSYCHOLOGY (2),001328,,,001328,001328,
ELEC,AP STU ART: 2D (1),000157,,000157,000157,000157,
ELEC,AP STU ART: 2D (2),000158,,000158,000158,000158,
ELEC,AP STU ART: 3D (1),000159,,000159,000159,000159,
ELEC,AP STU ART: 3D (2),000160,,000160,000160,000160,
ELEC,AP STUART:DRAW (1),000151,,000151,000151,000151,
ELEC,AP STUART:DRAW (2),000152,,000152,000152,000152,
ELEC,AVID 1,001595,001595,,,,
ELEC,AVID 2,001596,001596,,,,
ELEC,AVID 3,001597,,001597,,,
ELEC,AVID 4,001598,,001598,,,
ELEC,AVID 5,001599,,,001599,,
ELEC,AVID 6,001600,,,001600,,
ELEC,AVID SR SEMINAR 1,001609,,,,001609,
ELEC,AVID SR SEMINAR 2,001610,,,,001610,
ELEC,BRDCST JOURNALISM/TV PROD 1,000987,000987,000987,000987,000987,
ELEC,BRDCST JOURNALISM/TV PROD 2,000988,000988,000988,000988,000988,
ELEC,BROADCAST JOURNALISM 3,000353,000353,000353,000353,000353,
ELEC,BROADCAST JOURNALISM 4,000354,,000354,000354,000354,
ELEC,BUSINESS LAW 1,000189,000189,000189,000189,000189,
ELEC,BUSINESS LAW 2,000190,000190,000190,000190,000190,
ELEC,CERAMICS 1,000115,,000115,000115,000115,
ELEC,CERAMICS 2,000116,,000116,000116,000116,
ELEC,CERAMICS 3,000117,,000117,000117,000117,
ELEC,CERAMICS 4,000118,,000118,000118,000118,
ELEC,CHILD DEV/PSYCH 1,000932,000932,000932,000932,000932,
ELEC,CHILD DEV/PSYCH 2,000933,000933,000933,000933,000933,
ELEC,CHILD DEV/PSYCH 3,000934,,000934,000934,000934,
ELEC,CHILD DEV/PSYCH 4,000935,,000935,000935,000935,
ELEC,CLASS VOCAL ENS 1,701110,,701110,701110,701110,
ELEC,CLASS VOCAL ENS 2,801111,,801111,801111,801111,
ELEC,CLASS VOCAL ENS 2,901111,,901111,901111,901111,
ELEC,CONCERT BAND 1,001175,001175,001175,001175,001175,
ELEC,CONCERT BAND 2,801176,801176,801176,801176,801176,
ELEC,CONCERT BAND 2,901176,901176,901176,901176,901176,
ELEC,CONCERT CHOIR 1,701120,701120,701120,701120,701120,
ELEC,CONCERT CHOIR 2,801121,801121,801121,801121,801121,
ELEC,CONCERT CHOIR 2,901121,901121,901121,901121,901121,
ELEC,DATA STRUC 1,001072,,001072,001072,001072,
ELEC,DATA STRUC 2,001073,,,001073,001073,
ELEC,DESIGN/MXD MEDIA 1,000125,000125,000125,000125,000125,
ELEC,DESIGN/MXD MEDIA 2,000126,000126,000126,000126,000126,
ELEC,DIG MED PROD 1,000998,000998,000998,000998,000998,
ELEC,DIG MED PROD 2,000999,000999,000999,000999,000999,
ELEC,DIG MED PROD 3,000996,000996,000996,000996,000996,
ELEC,DIG MED PROD 4,000997,,000997,000997,000997,
ELEC,DNCE PRP 1,001193,001193,001193,001193,001193,
ELEC,DNCE PRP 2,001194,001194,001194,001194,001194,
